chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000016,BR_00000001,12,0002002195-000250,0002002195-000250,0002002195-000250,BR_00000006,normal_real,24.0,1455.0,0.65,770.0,810.0,DC51D+Z,,,,,,,96,04,2026-06-30
initial-000016,BR_00000001,13,0002002044-000070,0002002044-000070,0002002044-000070,BR_00000001,normal_real,18.71,1450.0,0.65,770.0,810.0,DC51D+Z,,,,,,,97,04,2026-05-31
initial-000016,BR_00000001,14,0002002162-000040,0002002162-000040,0002002162-000040,BR_00000006,normal_real,168.0,1450.0,0.65,770.0,810.0,DC51D+Z,,,,,,,98,04,2026-06-30
initial-000016,BR_00000001,15,0002002185-000070,0002002185-000070,0002002185-000070,BR_00000006,normal_real,92.0,1375.0,0.65,770.0,810.0,DC51D+Z,,,,,,,99,04,2026-06-30
initial-000016,BR_00000001,16,0002002024-000070,0002002024-000070,0002002024-000070,BR_00000001,normal_real,6.04,1360.0,0.7,770.0,810.0,DC51D+Z,,,,,,,100,04,2026-05-31
initial-000016,BR_00000001,17,0002002176-000100,0002002176-000100,0002002176-000100,BR_00000006,normal_real,23.0,1358.0,0.7,770.0,810.0,DC51D+Z,,,,,,,101,04,2026-06-30
initial-000016,BR_00000001,18,0030125207-000070,0030125207-000070,0030125207-000070,BR_00000006,normal_real,24.0,1349.0,0.9,770.0,810.0,DC51D+Z,,,,,,,102,04,2026-06-30
initial-000016,BR_00000001,19,0030124800-000020,0030124800-000020,0030124800-000020,BR_00000006,normal_real,24.0,1332.0,1.0,770.0,810.0,DX52D+Z,,,,,,,103,04,2026-06-30
initial-000016,BR_00000001,20,0002002170-000220,0002002170-000220,0002002170-000220,BR_00000006,normal_real,46.0,1330.0,1.0,770.0,810.0,DC51D+Z,,,,,,,104,04,2026-06-30
initial-000016,BR_00000001,21,0030123653-000060,0030123653-000060,0030123653-000060,BR_00000006,normal_real,96.0,1260.0,0.8,700.0,840.0,DC51D+Z,,,,,,,105,04,2026-06-30
initial-000016,BR_00000001,22,0030124871-000030,0030124871-000030,0030124871-000030,BR_00000006,normal_real,20.0,1250.0,0.95,710.0,730.0,DX51D+Z,,,,,,,106,04,2026-06-30
initial-000016,BR_00000001,23,0030124735-000100,0030124735-000100,0030124735-000100,BR_00000006,actual_transition,24.0,1250.0,1.0,700.0,840.0,DX51D+Z,,,,,,,107,04,2026-06-30
initial-000016,BR_00000001,24,0030122897-000040,0030122897-000040,0030122897-000040,BR_00000006,actual_transition,24.0,1250.0,1.0,700.0,840.0,DC51D+Z,,,,,,,108,04,2026-06-30
initial-000018,BR_00000001,0,0030124871-000100,0030124871-000100,0030124871-000100,BR_00000006,normal_real,210.0,1585.0,0.75,730.0,750.0,DX51D+Z,,,,,,,109,05,2026-06-30
initial-000018,BR_00000001,1,0030124871-000090,0030124871-000090,0030124871-000090,BR_00000006,normal_real,70.0,1550.0,0.75,730.0,750.0,DX51D+Z,,,,,,,110,05,2026-06-30
initial-000018,BR_00000001,2,0030125168-000080,0030125168-000080,0030125168-000080,BR_00000006,normal_real,24.0,1500.0,0.8,700.0,840.0,DX51D+Z,,,,,,,111,05,2026-06-30
initial-000018,BR_00000001,3,0002002170-000020,0002002170-000020,0002002170-000020,BR_00000006,normal_real,69.0,1498.0,0.8,830.0,850.0,DC53D+Z,,,,,,,112,05,2026-06-30
initial-000018,BR_00000001,4,0002002170-000160,0002002170-000160,0002002170-000160,BR_00000006,normal_real,23.0,1495.0,0.7,830.0,850.0,DC53D+Z,,,,,,,113,05,2026-06-30
initial-000018,BR_00000001,5,0030124397-000030,0030124397-000030,0030124397-000030,BR_00000006,normal_real,24.0,1465.0,0.7,830.0,850.0,DC56D+Z,,,,,,,114,05,2026-06-30
initial-000018,BR_00000001,6,0030120049-000040,0030120049-000040,0030120049-000040,BR_00000001,normal_real,24.0,1440.0,0.7,830.0,850.0,DC56D+Z,,,,,,,115,05,2026-06-05
initial-000018,BR_00000001,7,0002002170-000240,0002002170-000240,0002002170-000240,BR_00000006,normal_real,80.0,1434.0,0.7,830.0,850.0,DC53D+Z,,,,,,,116,05,2026-06-30
